아마, 69, 142
마하, 85, 187
파가, 78, 168
다라, 92, 160
가사, 41, 188
사마, 87, 156
카아, 54, 188
가가, 70, 175
파나, 46, 164
라사, 82, 183
라타, 40, 169
가가, 43, 169
파타, 90, 157
자마, 57, 183
라바, 67, 180
타가, 50, 143
다마, 43, 179
차사, 71, 149
나나, 94, 149
자타, 77, 181
자아, 91, 173
바가, 87, 186
하차, 40, 178
마하, 77, 146
가자, 52, 140
가라, 44, 183
라나, 89, 170
나아, 95, 156
가사, 71, 164
바자, 90, 184
타타, 82, 187
타타, 70, 168
사가, 59, 173
하카, 79, 156
아타, 84, 173
가다, 51, 181
사아, 53, 149
아가, 88, 156
바아, 69, 153
타라, 54, 174
차사, 67, 151
카파, 98, 148
마나, 83, 169
다가, 73, 167
나마, 80, 141
다다, 54, 148
자자, 52, 187
아파, 70, 187
나사, 40, 141
아라, 56, 145
라아, 53, 168
다바, 95, 172
하마, 85, 175
바라, 74, 172
다마, 65, 175
나자, 58, 175
나하, 72, 162
하다, 71, 184
라차, 51, 170
타마, 54, 184
바카, 61, 140
카파, 70, 144
라카, 56, 179
하다, 73, 161
나하, 67, 155
나가, 98, 160
차바, 50, 146
아파, 95, 169
사카, 89, 143
마나, 53, 180
마마, 67, 163
가카, 77, 160
자마, 78, 167
자파, 92, 144
하자, 57, 140
자바, 96, 146
다바, 75, 147
사다, 41, 175
자마, 55, 182
사타, 46, 189
파카, 80, 184
바바, 62, 148
마자, 85, 168
다차, 91, 165
다파, 71, 155
사아, 76, 170
하타, 54, 175
다아, 96, 181
하바, 75, 176
차파, 61, 174
다가, 73, 172
사카, 79, 186
아다, 63, 166
자바, 60, 147
나다, 89, 141
바사, 69, 155
아가, 68, 179
나자, 42, 152
카자, 70, 163
바카, 70, 188
나차, 59, 141
나사, 89, 171
카자, 69, 182
하차, 64, 187
타차, 92, 142
바아, 92, 187
바나, 87, 154
카사, 79, 168
가차, 44, 168
파파, 64, 165
아사, 44, 148
가차, 48, 174
카파, 63, 149
다다, 75, 151
자가, 50, 154
타바, 60, 189
하하, 44, 159
라타, 85, 157
바타, 92, 148
파마, 82, 147
라타, 88, 163
타가, 99, 145
사라, 74, 163
라자, 89, 186
다차, 90, 159
가자, 66, 152
하하, 41, 159
가다, 83, 147
자사, 65, 160
아카, 44, 153
사하, 46, 169
가마, 61, 143
바라, 94, 151
라자, 43, 177
파하, 87, 182
파사, 58, 182
파사, 69, 168
라카, 40, 181
하카, 50, 144
마자, 54, 153
가차, 72, 163
파마, 56, 152
차타, 69, 146
하타, 92, 184
타바, 56, 143
나다, 51, 182
자아, 81, 169
하사, 71, 171
다타, 94, 169
자바, 69, 163
자자, 74, 162
자마, 93, 186
하다, 48, 146
바가, 58, 156
가하, 56, 165
하카, 50, 148
바타, 74, 145
가타, 50, 167
카다, 59, 169
하하, 68, 166
사타, 67, 172
가자, 82, 168
라파, 97, 156
자아, 99, 166
아카, 63, 178
파마, 48, 184
자카, 97, 140
라자, 94, 158
라가, 59, 158
차라, 64, 177
마타, 72, 188
나파, 84, 180
마차, 51, 146
다나, 42, 141
차타, 85, 170
자바, 86, 179
라아, 81, 170
바나, 63, 145
나차, 71, 173
다카, 94, 147
자파, 99, 140
카자, 68, 157
사바, 86, 186
카자, 91, 148
라바, 79, 154
마나, 86, 154
가하, 62, 141
다마, 75, 168
파사, 78, 161
바타, 58, 183
사바, 91, 153
가사, 55, 158
다사, 51, 162
다자, 69, 174
차카, 77, 168
다사, 52, 151
나가, 69, 149
가카, 86, 145
나사, 91, 178
하사, 69, 174
카아, 40, 147
자아, 56, 180
라바, 59, 165
타타, 89, 186
카아, 78, 183
차카, 85, 148
라가, 83, 148
가하, 68, 151
마아, 41, 187
마카, 89, 174
아차, 53, 165
마마, 98, 154
마파, 77, 186
바아, 79, 166
라타, 79, 149
라나, 62, 171
나나, 48, 182
다나, 92, 146
가나, 89, 142
바타, 54, 162
바사, 64, 176
나다, 43, 169
나파, 83, 163
차다, 68, 169
마카, 95, 161
아아, 42, 151
나마, 84, 180
타자, 90, 161
하차, 70, 142
사라, 88, 157
라가, 59, 144
바가, 47, 152
차타, 86, 181
하차, 66, 171
차사, 60, 181
라나, 76, 159
사바, 95, 164
차아, 77, 158
타사, 55, 166
사타, 60, 187
자가, 80, 185
사타, 76, 147
가아, 64, 161
가자, 70, 156
마파, 85, 140
마파, 43, 148
자가, 91, 140
가자, 79, 165
아타, 81, 189
가마, 64, 157
파바, 91, 151
자라, 82, 140
자카, 73, 188
마나, 56, 172
나자, 54, 176
하가, 43, 176
카마, 75, 167
나타, 97, 160
자파, 50, 166
아마, 79, 175
사나, 45, 158
바나, 59, 169
차아, 44, 166
아다, 66, 171
가카, 84, 145
바다, 78, 175
사타, 57, 161
라사, 53, 171
하아, 72, 180
라차, 42, 166
라라, 69, 176
나하, 53, 179
가가, 43, 171
라하, 74, 140
라나, 68, 169
아라, 45, 186
마다, 66, 144
가파, 85, 149
라라, 99, 177
나다, 99, 153
하나, 44, 148
사타, 94, 148
바가, 48, 148
가사, 76, 161
자가, 48, 166
카파, 58, 184
하다, 63, 171
다아, 83, 168
파다, 70, 174
아가, 96, 189
파아, 65, 143
나바, 97, 164
하하, 58, 165
가마, 91, 155
나카, 81, 149
하라, 76, 154
마라, 47, 160
파다, 60, 176
차가, 52, 180
사마, 81, 156
자하, 85, 164
파하, 75, 171
차마, 94, 152
사아, 68, 184
가카, 49, 149
아파, 85, 155
차사, 72, 189
사가, 96, 189
파다, 70, 171
차차, 73, 170
차다, 85, 179
아마, 60, 148
사라, 96, 143
라마, 65, 171
카다, 93, 151
자사, 91, 140
파하, 99, 151
타하, 80, 170
사타, 75, 165
바나, 79, 146
가카, 66, 186
아바, 73, 186
가라, 63, 175
라파, 71, 145
마라, 52, 162
타자, 69, 187
차자, 41, 162
바나, 59, 168
가나, 64, 162
다자, 54, 182
바파, 62, 141
사차, 99, 162
나다, 50, 143
바자, 93, 159
가아, 99, 172
타사, 51, 163
라사, 51, 162
자차, 97, 161
라다, 57, 144
다가, 50, 164
차아, 47, 153
자나, 88, 183
차차, 55, 174
차자, 85, 160
라바, 42, 155
사하, 58, 174
다타, 85, 157
바라, 77, 170
자하, 89, 169
타자, 94, 170
나가, 89, 161
나파, 89, 170
라차, 75, 178
차파, 99, 141
사아, 67, 147
바다, 53, 180
자하, 43, 162
하차, 56, 159
마마, 70, 140
라타, 56, 159
사아, 85, 164
아사, 55, 146
하사, 96, 155
아하, 70, 147
자가, 63, 151
가하, 63, 186
바마, 50, 178
라사, 55, 140
카차, 58, 161
바사, 80, 187
차다, 70, 158
자카, 68, 164
파아, 78, 160
마라, 71, 150
차하, 43, 163
라가, 42, 176
타타, 83, 178
라마, 89, 148
차하, 67, 176
사하, 44, 143
하자, 88, 149
카차, 97, 142
나자, 76, 180
차카, 89, 157
아다, 45, 177
마가, 79, 141
나파, 49, 158
가타, 46, 177
자아, 55, 180
차카, 58, 164
아카, 73, 176
다카, 76, 161
마마, 94, 179
라하, 61, 160
마자, 65, 160
하차, 44, 159
바사, 50, 168
파차, 80, 149
차자, 92, 142
자가, 52, 162
다아, 88, 165
사자, 97, 159
아아, 81, 170
카하, 83, 155
파자, 53, 184
차라, 97, 145
하파, 44, 148
사사, 86, 175
사가, 66, 141
파타, 91, 145
마다, 91, 172
다나, 83, 182
사파, 93, 185
사다, 71, 151
바마, 56, 153
나하, 50, 171
타아, 48, 183
하바, 62, 171
사차, 77, 182
나차, 63, 157
타카, 79, 172
자타, 80, 189
다차, 82, 167
차다, 59, 161
바마, 92, 181
카마, 45, 179
자라, 61, 160
차하, 75, 167
자가, 48, 149
카가, 86, 189
자하, 58, 169
다바, 42, 146
하마, 43, 141
카라, 68, 158
카하, 84, 164
하아, 45, 188
파카, 63, 143
카가, 89, 164
카라, 88, 159
바다, 64, 147
라나, 86, 170
나차, 79, 154
나라, 69, 161
나나, 85, 167
파마, 72, 153
카타, 54, 145
아나, 69, 184
자하, 91, 164
하자, 48, 140
하가, 67, 150
라다, 72, 180
나차, 54, 154
가마, 75, 141
라자, 77, 176
바타, 52, 186
라타, 89, 168
카타, 96, 183
가나, 74, 156
라파, 54, 151
차가, 81, 144
나아, 56, 186
파아, 54, 179
카바, 76, 172
가하, 55, 159
타차, 58, 147
나가, 72, 185
파카, 88, 184
카하, 53, 145
나타, 58, 181
라마, 69, 148
가아, 85, 158
라사, 96, 173
타나, 69, 159
타다, 48, 157
바나, 90, 154
나타, 77, 159
마차, 62, 160
아파, 89, 152
하차, 80, 146
다자, 41, 155
나다, 87, 175
하차, 77, 169
자가, 73, 169
파하, 61, 153
사파, 59, 170
아차, 86, 177
하타, 42, 178
타파, 61, 172
바타, 96, 187
타마, 84, 155
자마, 62, 179
하자, 70, 165
아가, 87, 165
타아, 72, 147
나마, 49, 163
카나, 88, 143
가다, 59, 170
나바, 92, 182
바차, 63, 153
타자, 89, 187
하라, 86, 168
나바, 56, 172
차카, 71, 182
바타, 77, 186
타하, 42, 183
바자, 91, 144
타하, 51, 147
자바, 52, 147
차마, 63, 189
다자, 67, 164
카카, 46, 188
마하, 90, 146
나가, 70, 187
사파, 94, 188
가마, 78, 181
타카, 43, 158
하아, 53, 170
라파, 60, 151
라사, 51, 177
카파, 83, 189
다자, 97, 179
사아, 64, 178
파자, 93, 174
바나, 76, 171
차자, 98, 175
나자, 67, 166
라나, 91, 149
라라, 60, 141
가하, 65, 173
차라, 85, 177
아가, 60, 173
사하, 56, 188
타나, 76, 152
나파, 96, 144
사다, 52, 184
파자, 61, 169
바나, 76, 156
다라, 71, 177
바하, 89, 175
아자, 45, 150
자타, 98, 172
자마, 82, 169
바하, 51, 143
하타, 96, 150
자다, 70, 146
하라, 42, 160
나파, 95, 169
카다, 93, 148
자하, 44, 140
마바, 41, 185
라다, 86, 149
카사, 43, 176
바나, 95, 149
가자, 42, 148
사나, 48, 162
가가, 52, 141
사다, 45, 176
카바, 55, 178
라파, 98, 150
하바, 72, 185
타하, 47, 141
사마, 99, 179
가다, 61, 169
가파, 94, 148
나파, 91, 148
아타, 92, 185
마파, 48, 143
가아, 56, 182
차타, 49, 171
아자, 90, 172
나나, 67, 176
자라, 90, 172
자자, 56, 173
카타, 78, 150
